Results Summary - 2025-05-17 10:54:18
======================================================================
Settings: {'name': 'run1_baseline', 'lr_enc': 3e-05, 'lr_dec': 2e-05, 'temp': 2.0, 'alpha': 0.5, 'epochs_enc': 3, 'epochs_dec': 5, 'batch_size': 64}
120000 training examples, 7600 test examples
Classes: ['World', 'Sports', 'Business', 'Sci/Tech']
Teacher model: fabriceyhc/bert-base-uncased-ag_news
Student model: distilbert-base-uncased

EXPERIMENT 1: Training baseline student model...
Baseline student trained in 6017.5 seconds
Accuracy: 0.9471, F1: 0.9471

EXPERIMENT 2: Training student with knowledge distillation...
CE Loss: 0.1948, KL Loss: 0.3844, Total Loss: 0.2896
CE Loss: 0.3896, KL Loss: 0.6265, Total Loss: 0.5080
CE Loss: 0.4656, KL Loss: 0.4112, Total Loss: 0.4384
CE Loss: 0.5289, KL Loss: 0.6260, Total Loss: 0.5775
CE Loss: 0.4466, KL Loss: 0.6016, Total Loss: 0.5241
CE Loss: 0.1387, KL Loss: 0.5423, Total Loss: 0.3405
CE Loss: 0.0805, KL Loss: 0.2446, Total Loss: 0.1626
CE Loss: 0.2883, KL Loss: 0.4979, Total Loss: 0.3931
CE Loss: 0.3706, KL Loss: 0.6839, Total Loss: 0.5273
CE Loss: 0.1577, KL Loss: 0.6291, Total Loss: 0.3934
CE Loss: 0.3514, KL Loss: 0.4056, Total Loss: 0.3785
CE Loss: 0.3269, KL Loss: 0.6653, Total Loss: 0.4961
CE Loss: 0.4156, KL Loss: 0.3704, Total Loss: 0.3930
CE Loss: 0.4200, KL Loss: 0.5115, Total Loss: 0.4657
CE Loss: 0.5086, KL Loss: 0.6240, Total Loss: 0.5663
CE Loss: 0.2894, KL Loss: 0.8552, Total Loss: 0.5723
CE Loss: 0.4889, KL Loss: 0.8101, Total Loss: 0.6495
CE Loss: 0.1257, KL Loss: 0.5214, Total Loss: 0.3235
CE Loss: 0.1073, KL Loss: 0.3091, Total Loss: 0.2082
CE Loss: 0.3081, KL Loss: 0.7449, Total Loss: 0.5265
CE Loss: 0.4293, KL Loss: 0.7307, Total Loss: 0.5800
CE Loss: 0.1935, KL Loss: 0.3742, Total Loss: 0.2838
CE Loss: 0.5088, KL Loss: 0.8683, Total Loss: 0.6886
CE Loss: 0.2525, KL Loss: 0.6131, Total Loss: 0.4328
CE Loss: 0.2227, KL Loss: 0.3767, Total Loss: 0.2997
CE Loss: 0.2027, KL Loss: 0.3000, Total Loss: 0.2513
CE Loss: 0.2617, KL Loss: 0.5247, Total Loss: 0.3932
CE Loss: 0.2125, KL Loss: 0.3219, Total Loss: 0.2672
CE Loss: 0.4669, KL Loss: 0.8026, Total Loss: 0.6348
CE Loss: 0.4863, KL Loss: 0.9699, Total Loss: 0.7281
CE Loss: 0.3058, KL Loss: 0.5948, Total Loss: 0.4503
CE Loss: 0.0606, KL Loss: 0.3273, Total Loss: 0.1940
CE Loss: 0.2273, KL Loss: 0.3773, Total Loss: 0.3023
CE Loss: 0.2766, KL Loss: 0.4653, Total Loss: 0.3710
CE Loss: 0.1471, KL Loss: 0.3519, Total Loss: 0.2495
CE Loss: 0.2515, KL Loss: 0.4679, Total Loss: 0.3597
CE Loss: 0.4205, KL Loss: 0.9401, Total Loss: 0.6803
CE Loss: 0.2434, KL Loss: 0.4628, Total Loss: 0.3531
CE Loss: 0.2818, KL Loss: 0.6074, Total Loss: 0.4446
CE Loss: 0.2917, KL Loss: 0.3808, Total Loss: 0.3363
CE Loss: 0.3299, KL Loss: 0.4537, Total Loss: 0.3918
CE Loss: 0.3608, KL Loss: 0.6122, Total Loss: 0.4865
CE Loss: 0.2552, KL Loss: 0.5427, Total Loss: 0.3989
CE Loss: 0.4723, KL Loss: 0.7165, Total Loss: 0.5944
CE Loss: 0.1852, KL Loss: 0.3118, Total Loss: 0.2485
CE Loss: 0.3650, KL Loss: 0.4127, Total Loss: 0.3889
CE Loss: 0.4857, KL Loss: 0.4344, Total Loss: 0.4601
CE Loss: 0.4332, KL Loss: 0.6275, Total Loss: 0.5304
CE Loss: 0.1609, KL Loss: 0.3961, Total Loss: 0.2785
CE Loss: 0.4546, KL Loss: 0.9222, Total Loss: 0.6884
CE Loss: 0.2080, KL Loss: 0.2534, Total Loss: 0.2307
CE Loss: 0.4870, KL Loss: 0.8104, Total Loss: 0.6487
CE Loss: 0.0988, KL Loss: 0.2976, Total Loss: 0.1982
CE Loss: 0.1272, KL Loss: 0.1918, Total Loss: 0.1595
CE Loss: 0.2199, KL Loss: 0.4256, Total Loss: 0.3227
CE Loss: 0.5094, KL Loss: 0.3957, Total Loss: 0.4526
CE Loss: 0.3287, KL Loss: 0.4895, Total Loss: 0.4091
CE Loss: 0.5142, KL Loss: 0.8829, Total Loss: 0.6986
CE Loss: 0.4146, KL Loss: 0.6340, Total Loss: 0.5243
CE Loss: 0.3691, KL Loss: 0.4780, Total Loss: 0.4235
CE Loss: 0.2293, KL Loss: 0.4507, Total Loss: 0.3400
CE Loss: 0.2972, KL Loss: 0.6578, Total Loss: 0.4775
CE Loss: 0.3939, KL Loss: 0.4871, Total Loss: 0.4405
CE Loss: 0.2994, KL Loss: 0.6242, Total Loss: 0.4618
CE Loss: 0.2936, KL Loss: 0.6408, Total Loss: 0.4672
CE Loss: 0.2072, KL Loss: 0.4883, Total Loss: 0.3478
CE Loss: 0.2848, KL Loss: 0.4902, Total Loss: 0.3875
CE Loss: 0.5464, KL Loss: 0.8141, Total Loss: 0.6802
CE Loss: 0.2585, KL Loss: 0.6734, Total Loss: 0.4659
CE Loss: 0.1381, KL Loss: 0.4325, Total Loss: 0.2853
CE Loss: 0.2518, KL Loss: 0.2960, Total Loss: 0.2739
CE Loss: 0.2975, KL Loss: 0.6203, Total Loss: 0.4589
CE Loss: 0.1126, KL Loss: 0.3049, Total Loss: 0.2088
CE Loss: 0.2154, KL Loss: 0.4088, Total Loss: 0.3121
CE Loss: 0.0599, KL Loss: 0.4644, Total Loss: 0.2622
CE Loss: 0.0321, KL Loss: 0.1595, Total Loss: 0.0958
CE Loss: 0.1344, KL Loss: 0.3061, Total Loss: 0.2203
CE Loss: 0.3003, KL Loss: 0.4409, Total Loss: 0.3706
CE Loss: 0.4494, KL Loss: 0.5322, Total Loss: 0.4908
CE Loss: 0.2417, KL Loss: 0.5248, Total Loss: 0.3832
CE Loss: 0.2481, KL Loss: 0.4356, Total Loss: 0.3419
CE Loss: 0.2112, KL Loss: 0.3976, Total Loss: 0.3044
CE Loss: 0.2900, KL Loss: 0.6159, Total Loss: 0.4529
CE Loss: 0.3045, KL Loss: 0.7562, Total Loss: 0.5303
CE Loss: 0.2436, KL Loss: 0.6156, Total Loss: 0.4296
CE Loss: 0.2111, KL Loss: 0.3677, Total Loss: 0.2894
CE Loss: 0.2812, KL Loss: 0.5957, Total Loss: 0.4385
CE Loss: 0.3061, KL Loss: 0.5991, Total Loss: 0.4526
CE Loss: 0.3298, KL Loss: 0.3974, Total Loss: 0.3636
CE Loss: 0.1609, KL Loss: 0.3218, Total Loss: 0.2413
CE Loss: 0.3471, KL Loss: 0.4580, Total Loss: 0.4026
CE Loss: 0.2282, KL Loss: 0.3323, Total Loss: 0.2802
CE Loss: 0.3291, KL Loss: 0.4864, Total Loss: 0.4077
CE Loss: 0.1509, KL Loss: 0.8215, Total Loss: 0.4862
CE Loss: 0.2886, KL Loss: 0.4472, Total Loss: 0.3679
CE Loss: 0.4193, KL Loss: 0.5758, Total Loss: 0.4975
CE Loss: 0.2251, KL Loss: 0.4856, Total Loss: 0.3553
CE Loss: 0.5774, KL Loss: 0.8411, Total Loss: 0.7092
CE Loss: 0.2207, KL Loss: 0.3440, Total Loss: 0.2824
CE Loss: 0.1812, KL Loss: 0.4278, Total Loss: 0.3045
CE Loss: 0.1950, KL Loss: 0.4438, Total Loss: 0.3194
CE Loss: 0.0836, KL Loss: 0.3333, Total Loss: 0.2084
CE Loss: 0.1683, KL Loss: 0.4039, Total Loss: 0.2861
CE Loss: 0.2707, KL Loss: 0.3778, Total Loss: 0.3243
CE Loss: 0.3206, KL Loss: 0.6461, Total Loss: 0.4834
CE Loss: 0.4186, KL Loss: 0.6830, Total Loss: 0.5508
CE Loss: 0.3849, KL Loss: 0.5183, Total Loss: 0.4516
CE Loss: 0.5347, KL Loss: 0.7203, Total Loss: 0.6275
CE Loss: 0.2627, KL Loss: 0.3682, Total Loss: 0.3155
CE Loss: 0.1582, KL Loss: 0.3164, Total Loss: 0.2373
CE Loss: 0.2307, KL Loss: 0.4974, Total Loss: 0.3640
CE Loss: 0.4310, KL Loss: 0.8484, Total Loss: 0.6397
CE Loss: 0.2508, KL Loss: 0.6038, Total Loss: 0.4273
CE Loss: 0.4055, KL Loss: 0.5089, Total Loss: 0.4572
CE Loss: 0.2560, KL Loss: 0.5480, Total Loss: 0.4020
CE Loss: 0.1686, KL Loss: 0.3905, Total Loss: 0.2796
CE Loss: 0.2740, KL Loss: 0.6646, Total Loss: 0.4693
CE Loss: 0.3389, KL Loss: 0.6595, Total Loss: 0.4992
CE Loss: 0.2626, KL Loss: 0.5824, Total Loss: 0.4225
CE Loss: 0.1982, KL Loss: 0.3265, Total Loss: 0.2624
CE Loss: 0.3488, KL Loss: 0.5974, Total Loss: 0.4731
CE Loss: 0.3237, KL Loss: 0.6121, Total Loss: 0.4679
CE Loss: 0.4070, KL Loss: 0.5299, Total Loss: 0.4684
CE Loss: 0.3597, KL Loss: 0.5739, Total Loss: 0.4668
CE Loss: 0.2248, KL Loss: 0.5197, Total Loss: 0.3722
CE Loss: 0.1602, KL Loss: 0.3051, Total Loss: 0.2326
CE Loss: 0.1327, KL Loss: 0.2509, Total Loss: 0.1918
CE Loss: 0.4547, KL Loss: 0.8008, Total Loss: 0.6277
CE Loss: 0.3476, KL Loss: 0.5889, Total Loss: 0.4683
CE Loss: 0.1976, KL Loss: 0.4123, Total Loss: 0.3049
CE Loss: 0.2426, KL Loss: 0.3541, Total Loss: 0.2984
CE Loss: 0.3369, KL Loss: 0.4867, Total Loss: 0.4118
CE Loss: 0.3027, KL Loss: 0.3571, Total Loss: 0.3299
CE Loss: 0.1168, KL Loss: 0.3917, Total Loss: 0.2543
CE Loss: 0.4510, KL Loss: 0.6350, Total Loss: 0.5430
CE Loss: 0.1569, KL Loss: 0.1863, Total Loss: 0.1716
CE Loss: 0.2510, KL Loss: 0.2467, Total Loss: 0.2488
CE Loss: 0.2461, KL Loss: 0.5189, Total Loss: 0.3825
CE Loss: 0.1160, KL Loss: 0.3977, Total Loss: 0.2568
CE Loss: 0.4287, KL Loss: 0.4775, Total Loss: 0.4531
CE Loss: 0.3438, KL Loss: 0.3098, Total Loss: 0.3268
CE Loss: 0.3038, KL Loss: 0.3007, Total Loss: 0.3022
CE Loss: 0.1907, KL Loss: 0.3529, Total Loss: 0.2718
CE Loss: 0.1214, KL Loss: 0.2177, Total Loss: 0.1696
CE Loss: 0.3666, KL Loss: 0.6262, Total Loss: 0.4964
CE Loss: 0.2763, KL Loss: 0.3933, Total Loss: 0.3348
CE Loss: 0.1993, KL Loss: 0.2860, Total Loss: 0.2426
CE Loss: 0.2625, KL Loss: 0.4889, Total Loss: 0.3757
CE Loss: 0.3395, KL Loss: 0.5305, Total Loss: 0.4350
CE Loss: 0.1032, KL Loss: 0.2163, Total Loss: 0.1598
CE Loss: 0.3119, KL Loss: 0.6234, Total Loss: 0.4677
CE Loss: 0.1384, KL Loss: 0.2947, Total Loss: 0.2165
CE Loss: 0.6769, KL Loss: 0.6520, Total Loss: 0.6644
CE Loss: 0.3281, KL Loss: 0.3350, Total Loss: 0.3316
CE Loss: 0.1613, KL Loss: 0.4357, Total Loss: 0.2985
CE Loss: 0.2277, KL Loss: 0.2804, Total Loss: 0.2541
CE Loss: 0.1667, KL Loss: 0.3398, Total Loss: 0.2533
CE Loss: 0.2590, KL Loss: 0.5850, Total Loss: 0.4220
CE Loss: 0.1398, KL Loss: 0.3156, Total Loss: 0.2277
CE Loss: 0.0306, KL Loss: 0.1206, Total Loss: 0.0756
CE Loss: 0.2132, KL Loss: 0.4093, Total Loss: 0.3113
CE Loss: 0.1706, KL Loss: 0.3066, Total Loss: 0.2386
CE Loss: 0.3630, KL Loss: 0.5602, Total Loss: 0.4616
CE Loss: 0.4257, KL Loss: 0.3231, Total Loss: 0.3744
CE Loss: 0.3477, KL Loss: 0.3115, Total Loss: 0.3296
CE Loss: 0.1518, KL Loss: 0.3101, Total Loss: 0.2310
CE Loss: 0.1148, KL Loss: 0.3291, Total Loss: 0.2220
CE Loss: 0.6578, KL Loss: 0.7258, Total Loss: 0.6918
CE Loss: 0.3817, KL Loss: 0.6134, Total Loss: 0.4976
CE Loss: 0.4064, KL Loss: 0.3282, Total Loss: 0.3673
CE Loss: 0.4107, KL Loss: 0.6337, Total Loss: 0.5222
CE Loss: 0.1535, KL Loss: 0.3003, Total Loss: 0.2269
CE Loss: 0.2650, KL Loss: 0.3117, Total Loss: 0.2883
CE Loss: 0.4642, KL Loss: 0.4978, Total Loss: 0.4810
CE Loss: 0.1239, KL Loss: 0.3298, Total Loss: 0.2268
CE Loss: 0.0637, KL Loss: 0.1857, Total Loss: 0.1247
CE Loss: 0.1656, KL Loss: 0.4250, Total Loss: 0.2953
CE Loss: 0.1074, KL Loss: 0.2064, Total Loss: 0.1569
CE Loss: 0.1358, KL Loss: 0.1546, Total Loss: 0.1452
CE Loss: 0.2728, KL Loss: 0.4801, Total Loss: 0.3764
CE Loss: 0.4563, KL Loss: 0.5577, Total Loss: 0.5070
CE Loss: 0.4733, KL Loss: 0.7027, Total Loss: 0.5880
CE Loss: 0.2950, KL Loss: 0.4046, Total Loss: 0.3498
CE Loss: 0.2764, KL Loss: 0.4415, Total Loss: 0.3590
CE Loss: 0.1437, KL Loss: 0.2524, Total Loss: 0.1981
CE Loss: 0.2660, KL Loss: 0.5688, Total Loss: 0.4174
CE Loss: 0.0837, KL Loss: 0.2316, Total Loss: 0.1577
CE Loss: 0.1908, KL Loss: 0.7440, Total Loss: 0.4674
CE Loss: 0.1658, KL Loss: 0.3543, Total Loss: 0.2601
CE Loss: 0.2142, KL Loss: 0.2264, Total Loss: 0.2203
CE Loss: 0.2781, KL Loss: 0.4265, Total Loss: 0.3523
CE Loss: 0.1908, KL Loss: 0.3163, Total Loss: 0.2536
CE Loss: 0.1845, KL Loss: 0.2891, Total Loss: 0.2368
CE Loss: 0.2915, KL Loss: 0.4353, Total Loss: 0.3634
CE Loss: 0.2106, KL Loss: 0.4236, Total Loss: 0.3171
CE Loss: 0.3823, KL Loss: 0.6008, Total Loss: 0.4916
CE Loss: 0.1377, KL Loss: 0.3317, Total Loss: 0.2347
CE Loss: 0.2315, KL Loss: 0.4277, Total Loss: 0.3296
CE Loss: 0.2106, KL Loss: 0.4521, Total Loss: 0.3314
CE Loss: 0.1530, KL Loss: 0.4204, Total Loss: 0.2867
CE Loss: 0.1507, KL Loss: 0.2997, Total Loss: 0.2252
CE Loss: 0.3728, KL Loss: 0.3076, Total Loss: 0.3402
CE Loss: 0.2101, KL Loss: 0.3855, Total Loss: 0.2978
CE Loss: 0.2850, KL Loss: 0.3406, Total Loss: 0.3128
CE Loss: 0.3331, KL Loss: 0.6842, Total Loss: 0.5086
CE Loss: 0.2694, KL Loss: 0.3272, Total Loss: 0.2983
